country,variable,adf_stat,p_value,decision
Algeria,inflation,-3.466,0.0687,Non-stationary
Algeria,broad_money_growth,-1.785,0.6541,Non-stationary
Algeria,gdp_growth,-1.389,0.8053,Non-stationary
Algeria,depreciation_rate,-2.117,0.5277,Non-stationary
Egypt,inflation,-2.66,0.3208,Non-stationary
Egypt,broad_money_growth,-1.851,0.6293,Non-stationary
Egypt,gdp_growth,-0.974,0.9244,Non-stationary
Egypt,depreciation_rate,-2.167,0.5089,Non-stationary
Jordan,inflation,-2.524,0.3727,Non-stationary
Jordan,broad_money_growth,-2.116,0.528,Non-stationary
Jordan,gdp_growth,-1.66,0.7021,Non-stationary
Jordan,depreciation_rate,NA,NA,NA
Morocco,inflation,-2.653,0.3235,Non-stationary
Morocco,broad_money_growth,-2.421,0.4119,Non-stationary
Morocco,gdp_growth,-2.215,0.4904,Non-stationary
Morocco,depreciation_rate,-1.921,0.6026,Non-stationary
Saudi Arabia,inflation,-1.625,0.7152,Non-stationary
Saudi Arabia,broad_money_growth,-2.02,0.5647,Non-stationary
Saudi Arabia,gdp_growth,-0.919,0.9325,Non-stationary
Saudi Arabia,depreciation_rate,NA,NA,NA
Tunisia,inflation,-2.945,0.2125,Non-stationary
Tunisia,broad_money_growth,-1.494,0.7652,Non-stationary
Tunisia,gdp_growth,-2.397,0.4212,Non-stationary
Tunisia,depreciation_rate,-1.797,0.6498,Non-stationary
Turkiye,inflation,0.58,0.99,Non-stationary
Turkiye,broad_money_growth,-3.86,0.0314,Stationary
Turkiye,gdp_growth,-2.997,0.1924,Non-stationary
Turkiye,depreciation_rate,-2.427,0.4096,Non-stationary
