country,year,inflation,broad_money_growth,gdp_growth,exchange_rate,depreciation_rate,fitted_selected,residuals_selected,fitted_fe,residuals_fe
Algeria,2011,4.52,19.91,3,72.93788333,-1.946737726,7.450634793,-2.930634793,7.450634793,-2.930634793
Algeria,2012,8.89,10.94,2.4,77.53596667,6.304108551,6.737621986,2.152378014,6.737621986,2.152378014
Algeria,2013,3.25,8.41,2.6,79.3684,2.363333313,4.120081923,-0.870081923,4.120081923,-0.870081923
Algeria,2014,2.92,14.42,4.1,80.57901667,1.525313185,6.203006854,-3.283006854,6.203006854,-3.283006854
Algeria,2015,4.78,0.3,3.2,100.6914333,24.95986854,9.010581225,-4.230581225,9.010581225,-4.230581225
Algeria,2016,6.4,0.82,3.9,109.4430667,8.691537217,3.003625911,3.396374089,3.003625911,3.396374089
Algeria,2017,5.59,8.38,1.5,110.9730167,1.397941456,3.905671949,1.684328051,3.905671949,1.684328051
Algeria,2018,4.27,11.1,1.4,116.5937917,5.064992524,6.488134103,-2.218134103,6.488134103,-2.218134103
Algeria,2019,1.95,-0.76,0.9,119.3535583,2.366992753,0.37459267,1.57540733,0.37459267,1.57540733
Algeria,2020,2.42,7.45,-5,126.7768,6.219539497,6.277042687,-3.857042687,6.277042687,-3.857042687
Algeria,2021,7.23,13.18,3.8,135.0640583,6.536888689,7.595175965,-0.365175965,7.595175965,-0.365175965
Algeria,2022,9.27,14.33,3.6,141.994975,5.131577406,7.596534712,1.673465288,7.596534712,1.673465288
Algeria,2023,9.32,5.99,4.1,135.8429333,-4.332577051,0.32031228,8.99968772,0.32031228,8.99968772
Algeria,2024,4.05,9.03,3.7,134.0532417,-1.317471256,2.840924591,1.209075409,2.840924591,1.209075409
Egypt,2011,10.06,6.66,1.76,5.932827652,5.529845083,4.674387558,5.385612442,4.674387558,5.385612442
Egypt,2012,7.11,12.35,2.23,6.056058333,2.077098615,5.784623048,1.325376952,5.784623048,1.325376952
Egypt,2013,9.47,18.89,2.19,6.870325,13.44548917,12.92570908,-3.455709077,12.92570908,-3.455709077
Egypt,2014,10.07,15.77,2.92,7.077608561,3.017085233,7.527979506,2.542020494,7.527979506,2.542020494
Egypt,2015,10.37,18.6,4.37,7.691258333,8.670298261,10.67792248,-0.307922479,10.67792248,-0.307922479
Egypt,2016,13.81,39.51,4.35,10.02540079,30.34799191,27.96586222,-14.15586222,27.96586222,-14.15586222
Egypt,2017,29.51,20.45,4.18,17.78253352,77.37478922,37.40199679,-7.891996786,37.40199679,-7.891996786
Egypt,2018,14.4,13.3,5.33,17.76729042,-0.085719507,4.925985078,9.474014922,4.925985078,9.474014922
Egypt,2019,9.15,13.28,5.55,16.77058184,-5.609795058,2.803174814,6.346825186,2.803174814,6.346825186
Egypt,2020,5.04,19.71,3.55,15.75917292,-6.0308517,5.743223871,-0.703223871,5.743223871,-0.703223871
Egypt,2021,5.21,18.33,3.29,15.64452728,-0.727485133,7.17840223,-1.96840223,7.17840223,-1.96840223
Egypt,2022,13.9,27.14,6.59,19.16043974,22.47375326,19.27479193,-5.374791932,19.27479193,-5.374791932
Egypt,2023,33.88,19.92,3.76,30.6264137,59.84191446,30.62615905,3.253840955,30.62615905,3.253840955
Egypt,2024,28.27,31.08,2.4,45.29926,47.90912329,31.19598291,-2.925982905,31.19598291,-2.925982905
Jordan,2011,4.16,2.7,2.74,0.71,0,0.719405716,3.440594284,0.719405716,3.440594284
Jordan,2012,4.52,-2.04,2.43,0.71,0,-1.301354117,5.821354117,-1.301354117,5.821354117
Jordan,2013,4.82,14.16,2.61,0.71,0,5.734926709,-0.914926709,5.734926709,-0.914926709
