country,year,inflation,broad_money_growth,gdp_growth,exchange_rate
Algeria,2010,3.91,13.55,4.8,74.38598333
Algeria,2011,4.52,19.91,3,72.93788333
Algeria,2012,8.89,10.94,2.4,77.53596667
Algeria,2013,3.25,8.41,2.6,79.3684
Algeria,2014,2.92,14.42,4.1,80.57901667
Algeria,2015,4.78,0.3,3.2,100.6914333
Algeria,2016,6.4,0.82,3.9,109.4430667
Algeria,2017,5.59,8.38,1.5,110.9730167
Algeria,2018,4.27,11.1,1.4,116.5937917
Algeria,2019,1.95,-0.76,0.9,119.3535583
Algeria,2020,2.42,7.45,-5,126.7768
Algeria,2021,7.23,13.18,3.8,135.0640583
Algeria,2022,9.27,14.33,3.6,141.994975
Algeria,2023,9.32,5.99,4.1,135.8429333
Algeria,2024,4.05,9.03,3.7,134.0532417
"Egypt, Arab Rep.",2010,11.27,12.42,5.15,5.621942918
"Egypt, Arab Rep.",2011,10.06,6.66,1.76,5.932827652
"Egypt, Arab Rep.",2012,7.11,12.35,2.23,6.056058333
"Egypt, Arab Rep.",2013,9.47,18.89,2.19,6.870325
"Egypt, Arab Rep.",2014,10.07,15.77,2.92,7.077608561
"Egypt, Arab Rep.",2015,10.37,18.6,4.37,7.691258333
"Egypt, Arab Rep.",2016,13.81,39.51,4.35,10.02540079
"Egypt, Arab Rep.",2017,29.51,20.45,4.18,17.78253352
"Egypt, Arab Rep.",2018,14.4,13.3,5.33,17.76729042
"Egypt, Arab Rep.",2019,9.15,13.28,5.55,16.77058184
"Egypt, Arab Rep.",2020,5.04,19.71,3.55,15.75917292
"Egypt, Arab Rep.",2021,5.21,18.33,3.29,15.64452728
"Egypt, Arab Rep.",2022,13.9,27.14,6.59,19.16043974
"Egypt, Arab Rep.",2023,33.88,19.92,3.76,30.6264137
"Egypt, Arab Rep.",2024,28.27,31.08,2.4,45.29926
Jordan,2010,4.85,9.22,2.31,0.71
Jordan,2011,4.16,2.7,2.74,0.71
Jordan,2012,4.52,-2.04,2.43,0.71
Jordan,2013,4.82,14.16,2.61,0.71
Jordan,2014,2.9,-4.16,3.38,0.71
Jordan,2015,-0.88,7.54,2.5,0.71
Jordan,2016,-0.78,4.34,1.99,0.71
Jordan,2017,3.32,-0.04,2.47,0.71
Jordan,2018,4.46,0.16,1.92,0.71
Jordan,2019,0.76,5.13,1.75,0.71
Jordan,2020,0.33,5.74,-1.1,0.71
Jordan,2021,1.35,7.04,3.66,0.71
Jordan,2022,4.23,5.38,2.65,0.71
Jordan,2023,2.08,2.09,2.88,0.71
Jordan,2024,1.56,6.09,2.49,0.71
Morocco,2010,0.99,4.2,3.5,8.417158333
Morocco,2011,0.91,6.44,5.52,8.089875
Morocco,2012,1.29,4.52,3.06,8.628444583
Morocco,2013,1.88,3.09,4.12,8.405503917
Morocco,2014,0.44,6.2,2.72,8.406336688
Morocco,2015,1.56,5.69,4.34,9.76434828
Morocco,2016,1.64,4.74,0.52,9.807476032
Morocco,2017,0.75,5.55,5.06,9.691997889
Morocco,2018,1.8,4.06,3.07,9.386102421
Morocco,2019,0.3,3.78,2.89,9.6170761
Morocco,2020,0.71,8.36,-7.18,9.496847322
Morocco,2021,1.4,5.09,8.15,8.988484024
Morocco,2022,6.66,8.01,1.81,10.16066024
Morocco,2023,6.09,3.91,3.66,10.1314261
Morocco,2024,0.99,8,3.79,9.942359217
Saudi Arabia,2010,5.34,5.17,5.04,3.75
Saudi Arabia,2011,5.83,13.26,11.76,3.75
Saudi Arabia,2012,2.87,16.49,5.76,3.75
Saudi Arabia,2013,3.51,8.35,2.95,3.75
Saudi Arabia,2014,2.24,11.82,4.02,3.75
Saudi Arabia,2015,1.22,2.9,4.66,3.75
Saudi Arabia,2016,2.05,0.55,1.7,3.75
Saudi Arabia,2017,-0.83,0.15,1.18,3.75
Saudi Arabia,2018,2.47,2.69,3.23,3.75
Saudi Arabia,2019,-1.19,7.09,1.65,3.75
Saudi Arabia,2020,3.37,8.27,-3.8,3.75
Saudi Arabia,2021,3.06,7.42,6.52,3.75
Saudi Arabia,2022,2.47,8.08,12,3.75
Saudi Arabia,2023,2.33,7.61,0.54,3.75
Saudi Arabia,2024,1.69,8.79,2,3.75
Tunisia,2010,3.34,11.75,2.97,1.4314
Tunisia,2011,3.24,9.58,-2.05,1.407783333
Tunisia,2012,4.61,8.07,4.22,1.561891667
Tunisia,2013,5.32,6.24,2.43,1.624658333
Tunisia,2014,4.63,7.95,3.09,1.697675
Tunisia,2015,4.44,5.41,0.97,1.961625
Tunisia,2016,3.63,8.04,1.12,2.148033333
Tunisia,2017,5.31,11.96,2.25,2.419425
Tunisia,2018,7.31,7.11,2.61,2.646866667
Tunisia,2019,6.72,10.95,1.55,2.934433333
Tunisia,2020,5.63,10.31,-8.98,2.812358333
Tunisia,2021,5.71,8.68,4.74,2.794466667
Tunisia,2022,8.31,9.13,2.75,3.1036
Tunisia,2023,9.33,8.95,0.18,3.106166667
Tunisia,2024,7.21,10.42,1.61,3.10745
Turkiye,2010,8.57,18.55,8.54,1.50284863
Turkiye,2011,6.47,15.2,10.98,1.674954552
Turkiye,2012,8.89,10.42,4.81,1.796000944
Turkiye,2013,7.49,21.15,8.49,1.903768242
Turkiye,2014,8.85,11.18,4.6,2.188542418
Turkiye,2015,7.67,16.51,5.81,2.720008528
Turkiye,2016,7.78,17.65,3.32,3.020134748
Turkiye,2017,11.14,16.35,7.83,3.648132635
Turkiye,2018,16.33,18.38,3.47,4.828370147
Turkiye,2019,15.18,27.02,1.3,5.673819308
